,antecedents,consequents,support,antecedent support,consequent support,confidence,lift,leverage,conviction,certainty,adjusted_support,adjusted_antecedent_support,adjusted_consequent_support,adjusted_confidence,adjusted_lift,adjusted_leverage,adjusted_conviction,adjusted_certainty
30,"frozenset({'mie', 'nasi goreng'})",frozenset({'teh'}),0.003497726477789437,0.0060627258948350235,0.0018314705367281736,0.576923076923077,1.9097912893744622,0.0034866227739407877,2.3593074332768245,0.5750916063863488,0.0035714285714285713,0.006190476190476191,0.30142857142857143,0.5769230769230769,1.913962814436748,0.001705442176870748,1.651168831168831,0.27549450549450544
31,"frozenset({'penyetan', 'nasi putih'})",frozenset({'mie'}),0.00466363530371925,0.00676227119039291,0.0013269094570865418,0.6896551724137933,3.5146597824082617,0.0046546623821253335,3.2179466250827224,0.6883282629567067,0.004720878083323498,0.006845273220819072,0.19697863802667295,0.6896551724137931,3.501167331253487,0.0033725054873661,2.58751327746961,0.4926765343871202
32,"frozenset({'sosis goreng', 'nasi putih'})",frozenset({'mie'}),0.0011659088259298124,0.0022152267692666433,0.00043467723594214306,0.5263157894736843,2.682240360258936,0.0011649459172807625,2.110193459168567,0.5258811122377421,0.0011802195208308745,0.002242417089578662,0.19697863802667295,0.5263157894736842,2.6719434896408187,0.0007385112566379338,1.6952673197214683,0.32933715144701126
33,"frozenset({'tahu krispy', 'nasi putih'})",frozenset({'mie'}),0.001982045004080681,0.002448408534452606,0.00048043273446236873,0.8095238095238095,4.125541125541125,0.001980868708473393,5.247477728144073,0.8090433767893471,0.0020063731854124867,0.0024784609937448365,0.19697863802667295,0.8095238095238095,4.1097035578761165,0.0015181693144623945,4.215862150359968,0.6125451714971366
34,"frozenset({'teh', 'nasi putih'})",frozenset({'mie'}),0.01422408767634371,0.017372041506354203,0.0034087846397568063,0.8187919463087249,4.172773929584036,0.014164870128095633,5.49970707735838,0.8153831616689681,0.01439867815413667,0.01758527086038003,0.19697863802667295,0.8187919463087249,4.156755039588871,0.010934755450728872,4.4314882568157685,0.621813308282052
35,"frozenset({'mie', 'nasi putih'})",frozenset({'teh'}),0.01422408767634371,0.025183630640083946,0.007607646844870876,0.5648148148148148,1.8697092499678374,0.014032499508162282,2.280390939164977,0.5572071679699439,0.01439867815413667,0.02549274164994689,0.3017821314764546,0.5648148148148148,1.8715979373977027,0.006705424241837107,1.6044155276711254,0.26303268333836016
36,"frozenset({'mie', 'telur'})",frozenset({'nasi putih'}),0.0013990905911157748,0.002098635886673662,8.22130882502449e-05,0.6666666666666666,17.017857142857142,0.0013989180557784186,2.999753360735249,0.6665844535784163,0.0014289116456299119,0.0021433674684448677,0.039056918313884255,0.6666666666666666,17.06910569105691,0.0013451983174982238,2.882829245058347,0.6276097483527824
37,"frozenset({'penyetan', 'mie'})",frozenset({'teh'}),0.016789087093389297,0.024950448874897984,0.00753720567038133,0.6728971962616822,2.2274948870461015,0.016601030428650857,3.034100542664834,0.6653599905913009,0.016853932584269662,0.025046816479400748,0.3018492509363296,0.6728971962616822,2.2292491837378106,0.009293569791622831,2.134346575708935,0.3710479453253526
38,"frozenset({'sayur harian', 'mie'})",frozenset({'teh'}),0.002681590299638568,0.004080680890754343,0.0012327205535670402,0.657142857142857,2.175343221039863,0.0026765599604319868,2.913071231718762,0.65591013658929,0.0026919475655430712,0.004096441947565543,0.3018492509363296,0.6571428571428571,2.177056444912203,0.0014554396321662532,2.036273018102372,0.35529360620652756
39,"frozenset({'sosis goreng', 'mie'})",frozenset({'teh'}),0.005479771481870118,0.0093272706074385,0.002817646979581806,0.5875,1.9448041296796605,0.005453490526015327,2.4174117648979836,0.5846823530204183,0.005500936329588015,0.009363295880149813,0.3018492509363296,0.5875,1.9463357890655293,0.0026746324818695735,1.692486664396777,0.28565074906367044
40,"frozenset({'mie', 'tahu krispy'})",frozenset({'teh'}),0.006529089425206949,0.01130931561151918,0.0034163969627429396,0.5773195876288659,1.9111038607073654,0.006490452313701054,2.3577709632832664,0.5739031906661229,0.006554307116104869,0.011352996254681648,0.3018492509363296,0.5773195876288659,1.9126089789457272,0.0031274137007462587,1.6517225038823422,0.27547033669253634
41,"frozenset({'mie', 'telur'})",frozenset({'teh'}),0.001049317943336831,0.002098635886673662,0.0006339705704059063,0.5,1.6551524507912003,0.0010479874699466823,1.9987320588591881,0.49936602942959407,0.0010716837342224339,0.0021433674684448677,0.30138128125744224,0.5,1.6590280521532992,0.00042571290037699927,1.3972374374851155,0.19861871874255776
42,"frozenset({'nasi goreng', 'nasi putih'})",frozenset({'teh'}),0.001049317943336831,0.0015156814737087559,0.0004578676341820434,0.6923076923076924,2.2917495472493545,0.0010486239618462906,3.248511930188909,0.6918498246735103,0.0010714285714285715,0.0015476190476190477,0.30142857142857143,0.6923076923076923,2.2967553773240974,0.0006049319727891157,2.2703571428571427,0.39087912087912086
43,"frozenset({'penyetan', 'nasi goreng'})",frozenset({'teh'}),0.0017488632388947185,0.0030313629474175117,0.0009157352683640868,0.576923076923077,1.9097912893744622,0.001746087312932556,2.3614718984565943,0.5760073416547129,0.0017857142857142857,0.0030952380952380953,0.30142857142857143,0.5769230769230769,1.913962814436748,0.000852721088435374,1.651168831168831,0.27549450549450544
44,"frozenset({'nasi goreng', 'tahu krispy'})",frozenset({'teh'}),0.0015156814737087559,0.001982045004080681,0.0005987499831611339,0.764705882352941,2.531409630621835,0.001514494724295938,4.247455312571562,0.7641071323697799,0.0015476190476190477,0.0020238095238095236,0.30142857142857143,0.7647058823529411,2.5369389461945913,0.0009375850340136055,2.968928571428571,0.4632773109243697
45,"frozenset({'penyetan', 'nasi putih'})",frozenset({'teh'}),0.0038474991255683807,0.006762271190392911,0.002042794060196809,0.5689655172413793,1.883449340555504,0.003833685198147206,2.3152607177803435,0.5669227231811825,0.003894724418741886,0.006845273220819072,0.3017821314764546,0.5689655172413793,1.8853519075425136,0.0018289432756244109,1.6198654549746254,0.26718338576492473
46,"frozenset({'tahu krispy', 'nasi putih'})",frozenset({'teh'}),0.0016322723563017372,0.002448408534452606,0.0007396323321402241,0.6666666666666666,2.206869934388267,0.001630461434187368,2.997781103003579,0.6659270343345264,0.0016523073291632244,0.0024784609937448365,0.3017821314764546,0.6666666666666666,2.2090992047972886,0.0009043520876896559,2.094653605570636,0.364884535190212
47,"frozenset({'teh', 'telur'})",frozenset({'nasi putih'}),0.002098635886673662,0.003847499125568381,0.000150723995125449,0.5454545454545454,13.923701298701298,0.0020980559762342147,2.1996684072107238,0.5453038214594199,0.0021433674684448677,0.003929507025482257,0.039056918313884255,0.5454545454545454,13.965631929046562,0.0019898930335367727,2.1140747797094543,0.5063976271406612
48,"frozenset({'sayur harian', 'pisang coklat keju'})",frozenset({'penyetan'}),0.001049317943336831,0.002098635886673662,0.00042085271366196794,0.5,2.493313953488372,0.0010484347267289361,1.999158294572676,0.499579147286338,0.0017790077090334058,0.0035580154180668115,0.20853923700336036,0.5,2.3976303317535543,0.0010370218885035606,1.5829215259932794,0.29146076299663964
